"","Yr2Season","Detected","Sampled","Prevalence","StartMo","Year2.x","Yr2SeasonNo","Time","Season","Year2.y","OUT","X2","CVP","SWP","Index","Yr.type","Action","shape1","shape2","LowerBound","UpperBound","LowerBound_Diff","UpperBound_Diff","LowLower","HighHigher","prev_LowerBound","prev_UpperBound","Trend"
"16","2013 Winter",294,2069,0.142097631706138,"1","2013","2013-1","2013-01","Winter",2013,11562.55,76.4374166666667,1724.03333333333,2003.73333333333,5.83,"D",NA,295,1776,0.127725542653879,0.157815009949251,0.0838891889708022,0.0950036272900728,0,1,0.0438363536830767,0.0628113826591783,1
"14","2013 Spring",677,3330,0.203303303303303,"3","2013","2013-3","2013-03","Spring",2013,10831.6195652174,75.4479347826087,1328.72826086957,1624.09782608696,5.83,"D",NA,678,2654,0.189984055589488,0.217315872660302,0.0622585129356089,0.0595008627110507,0,1,0.127725542653879,0.157815009949251,1
"15","2013 Summer",528,3058,0.172661870503597,"6","2013","2013-6","2013-06","Summer",2013,6123.96739130435,81.1613043478261,2774.17391304348,4372.34782608696,5.83,"D",NA,529,2531,0.159684576807754,0.18647205159017,-0.0302994787817336,-0.0308438210701319,1,0,0.189984055589488,0.217315872660302,-1
"13","2013 Fall",78,1917,0.0406885758998435,"9","2013","2013-9","2013-09","Fall",2013,5149.04918032787,86.0214754098361,1986.77049180328,1866.37704918033,5.83,"D",NA,79,1840,0.032742677134065,0.0504970280831716,-0.126941899673689,-0.135975023506998,1,0,0.159684576807754,0.18647205159017,-1
"20","2014 Winter",236,2530,0.0932806324110672,"1","2014","2014-1","2014-01","Winter",2014,13830.2333333333,81.1535833333333,1191.81666666667,2179.28333333333,4.07,"C",NA,237,2295,0.0825667657687824,0.105244995232094,0.0498240886347175,0.0547479671489223,0,1,0.032742677134065,0.0504970280831716,1
"18","2014 Spring",309,3028,0.102047556142668,"3","2014","2014-3","2014-03","Spring",2014,8273.96739130435,80.0567391304348,2077.48913043478,1005.02173913043,4.07,"C",NA,310,2720,0.0917728077885377,0.113344840543816,0.00920604201975532,0.00809984531172214,0,1,0.0825667657687824,0.105244995232094,0
"19","2014 Summer",128,2742,0.0466812545587163,"6","2014","2014-6","2014-06","Summer",2014,4291.21739130435,86.2796739130435,469.021739130435,1164.96739130435,4.07,"C",NA,129,2615,0.0394113261973882,0.0552371456031457,-0.0523614815911496,-0.0581076949406703,1,0,0.0917728077885377,0.113344840543816,-1
"17","2014 Fall",9,2150,0.00418604651162791,"9","2014","2014-9","2014-09","Fall",2014,3981.91803278689,87.6786885245902,1210.90163934426,1147.73770491803,4.07,"C",NA,10,2142,0.00223155940577906,0.00792780341459454,-0.0371797667916091,-0.0473093421885512,1,0,0.0394113261973882,0.0552371456031457,-1
"24","2015 Winter",113,1984,0.0569556451612903,"1","2015","2015-1","2015-01","Winter",2015,8938.18333333333,80.1024166666667,1221.1,2416.40833333333,4,"C",NA,114,1872,0.0476037422335102,0.0680437899634051,0.0453721828277312,0.0601159865488106,0,1,0.00223155940577906,0.00792780341459454,1
"22","2015 Spring",90,2846,0.0316233309908644,"3","2015","2015-3","2015-03","Spring",2015,6232.33695652174,81.1078260869565,988.934782608696,787.108695652174,4,"C",NA,91,2757,0.0258114001113125,0.0387152899547326,-0.0217923421221978,-0.0293285000086725,1,0,0.0476037422335102,0.0680437899634051,-1
"23","2015 Summer",40,2692,0.0148588410104012,"6","2015","2015-6","2015-06","Summer",2015,4675.40217391304,84.9738043478261,398.978260869565,469.967391304348,4,"C",NA,41,2653,0.0109470468559304,0.0201715806865358,-0.0148643532553821,-0.0185437092681968,1,0,0.0258114001113125,0.0387152899547326,-1
"21","2015 Fall",5,2133,0.0023441162681669,"9","2015","2015-9","2015-09","Fall",2015,6243.19672131148,85.0131147540984,2612.40983606557,1824.49180327869,4,"C",NA,6,2129,0.00103249273586174,0.00545928342258528,-0.00991455412006864,-0.0147122972639505,1,0,0.0109470468559304,0.0201715806865358,-1
"28","2016 Winter",18,2027,0.00888011840157869,"1","2016","2016-1","2016-01","Winter",2016,22566.2314049587,74.6335537190083,2867.26446280992,3545.23140495868,6.71,"BN",NA,19,2010,0.00564980776412474,0.0139913489115652,0.004617315028263,0.00853206548897989,0,1,0.00103249273586174,0.00545928342258528,1
"26","2016 Spring",123,2836,0.0433709449929478,"3","2016","2016-3","2016-03","Spring",2016,32350.8695652174,66.4340217391304,1731.96739130435,1462.44565217391,6.71,"BN",NA,124,2714,0.0364832001101162,0.0515111375813784,0.0308333923459914,0.0375197886698132,0,1,0.00564980776412474,0.0139913489115652,1
"27","2016 Summer",30,2738,0.0109569028487947,"6","2016","2016-6","2016-06","Summer",2016,7166.6847826087,79.0538043478261,1561.98913043478,5417.40217391304,6.71,"BN",NA,31,2709,0.0077026280408186,0.0155992992633827,-0.0287805720692976,-0.0359118383179957,1,0,0.0364832001101162,0.0515111375813784,-1
"25","2016 Fall",9,2130,0.00422535211267606,"9","2016","2016-9","2016-09","Fall",2016,7299.19672131148,79.5081967213115,4102.98360655738,3416.49180327869,6.71,"BN",NA,10,2122,0.00225252390159158,0.00800206662706859,-0.00545010413922702,-0.00759723263631407,1,0,0.0077026280408186,0.0155992992633827,0
"32","2017 Winter",227,2978,0.0762256548018805,"1","2017","2017-1","2017-01","Winter",2017,103982.808333333,65.3204166666667,3721.75833333333,5879.69166666667,14.14,"W","FallX2",228,2752,0.0672406627977271,0.0863177521142259,0.0649881388961355,0.0783156854871573,0,1,0.00225252390159158,0.00800206662706859,1
"30","2017 Spring",203,4742,0.0428089413749473,"3","2017","2017-3","2017-03","Spring",2017,98739.6739130435,47.6669565217391,3342.85869565217,2150.39130434783,14.14,"W","FallX2",204,4540,0.0374145082096911,0.0489537204301064,-0.0298261545880359,-0.0373640316841195,1,0,0.0672406627977271,0.0863177521142259,-1
"31","2017 Summer",282,4395,0.0641638225255973,"6","2017","2017-6","2017-06","Summer",2017,15871.097826087,69.1247826086957,4327.35869565217,6801.16304347826,14.14,"W","FallX2",283,4114,0.0572993516173876,0.0718000671106145,0.0198848434076965,0.0228463466805081,0,1,0.0374145082096911,0.0489537204301064,1
"29","2017 Fall",93,4018,0.023145843703335,"9","2017","2017-9","2017-09","Fall",2017,8906.2131147541,79.2673770491803,4064.68852459016,4566.01639344262,14.14,"W","FallX2",94,3926,0.0189409795309171,0.0282740582837738,-0.0383583720864705,-0.0435260088268407,1,0,0.0572993516173876,0.0718000671106145,-1
"36","2018 Winter",32,4677,0.00684199273038272,"1","2018","2018-1","2018-01","Winter",2018,11666.2833333333,78.5651666666667,2930.075,2544.88333333333,7.14,"BN","Gates",33,4646,0.00486068397877255,0.00964318017654531,-0.0140802955521446,-0.0186308781072285,1,0,0.0189409795309171,0.0282740582837738,-1
"34","2018 Spring",15,3764,0.00398512221041445,"3","2018","2018-3","2018-03","Spring",2018,27439.7717391304,67.8939130434783,2107.23913043478,2128.44565217391,7.14,"BN","Gates",16,3750,0.00243094412759112,0.00656260683565181,-0.00242973985118143,-0.0030805733408935,1,0,0.00486068397877255,0.00964318017654531,0
"35","2018 Summer",55,4047,0.0135903138127008,"6","2018","2018-6","2018-06","Summer",2018,6568.33695652174,79.7151086956522,3619.39130434783,2778.64130434783,7.14,"BN","Gates",56,3993,0.0104665156540807,0.0176489821861946,0.00803557152648961,0.0110863753505428,0,1,0.00243094412759112,0.00656260683565181,1
"33","2018 Fall",84,3802,0.0220936349289847,"9","2018","2018-9","2018-09","Fall",2018,9711.04918032787,78.2014754098361,2722.86885245902,3506.13114754098,7.14,"BN","Gates",85,3719,0.0178910817868657,0.0272740711382442,0.00742456613278501,0.00962508895204961,0,1,0.0104665156540807,0.0176489821861946,1
"40","2019 Winter",42,4028,0.0104270109235353,"1","2019","2019-1","2019-01","Winter",2019,32907.4083333333,71.5455,3088.375,4249.94166666667,10.34,"W","FallX2",43,3987,0.00773429843638834,0.0140649275159241,-0.0101567833504774,-0.0132091436223201,1,0,0.0178910817868657,0.0272740711382442,-1
"38","2019 Spring",15,3823,0.00392362019356526,"3","2019","2019-3","2019-03","Spring",2019,85507.5434782609,52.1025,1736.22826086957,2689.14130434783,10.34,"W","FallX2",16,3809,0.00239340862355686,0.00646148236311659,-0.00534088981283147,-0.00760344515280755,1,0,0.00773429843638834,0.0140649275159241,-1
"39","2019 Summer",103,4268,0.0241330834114339,"6","2019","2019-6","2019-06","Summer",2019,17260.3695652174,69.5308695652174,4024.38043478261,5852.88043478261,10.34,"W","FallX2",104,4166,0.0199476034023141,0.0291860956806281,0.0175541947787572,0.0227246133175115,0,1,0.00239340862355686,0.00646148236311659,1
"37","2019 Fall",18,3935,0.00457433290978399,"9","2019","2019-9","2019-09","Fall",2019,8331.65573770492,81.2740983606557,3610.67213114754,3119.19672131148,10.34,"W","FallX2",19,3918,0.0029087378852852,0.00721798709300525,-0.0170388655170289,-0.0219681085876229,1,0,0.0199476034023141,0.0291860956806281,-1
"44","2020 Winter",14,4160,0.00336538461538462,"1","2020","2020-1","2020-01","Winter",2020,9136.61983471074,79.5363636363636,2046.14049586777,1816.57024793388,6.13,"D",NA,15,4147,0.00201899736721134,0.00563874914197477,-0.000889740518073861,-0.00157923795103048,1,0,0.0029087378852852,0.00721798709300525,0
"42","2020 Spring",30,3098,0.00968366688185926,"3","2020","2020-3","2020-03","Spring",2020,10242.0652173913,76.3501086956522,1829.72826086957,1062.08695652174,6.13,"D",NA,31,3069,0.00680654269883549,0.0137909496091291,0.00478754533162415,0.00815220046715431,0,1,0.00201899736721134,0.00563874914197477,1
"43","2020 Summer",22,2872,0.00766016713091922,"6","2020","2020-6","2020-06","Summer",2020,4987.35869565217,83.3446739130435,3584.61956521739,1807.85869565217,6.13,"D",NA,23,2851,0.00508141676376769,0.0115707207125207,-0.0017251259350678,-0.00222022889660833,1,0,0.00680654269883549,0.0137909496091291,0
"41","2020 Fall",2,3121,0.000640820249919897,"9","2020","2020-9","2020-09","Fall",2020,8799.72131147541,86.9519672131148,2837.4262295082,1435.65573770492,6.13,"D",NA,3,3120,0.000198209174004594,0.00231218607086262,-0.0048832075897631,-0.00925853464165812,1,0,0.00508141676376769,0.0115707207125207,-1
"48","2021 Winter",2,2827,0.000707463742483198,"1","2021","2021-1","2021-01","Winter",2021,10542.75,81.9393333333333,2017.70833333333,1772.10833333333,3.86,"C",NA,3,2826,0.000218820113642177,0.00255233981470306,0.0000206109396375833,0.000240153743840437,0,1,0.000198209174004594,0.00231218607086262,0
"46","2021 Spring",13,3236,0.00401730531520396,"3","2021","2021-3","2021-03","Spring",2021,6742.95652173913,80.7125,741.228260869565,404.380434782609,3.86,"C",NA,14,3224,0.00236646936798144,0.00685780080206932,0.00214764925433926,0.00430546098736627,0,1,0.000218820113642177,0.00255233981470306,0
"47","2021 Summer",1,4118,0.000242836328314716,"6","2021","2021-6","2021-06","Summer",2021,3405.27173913043,88.7054347826087,759.630434782609,300.771739130435,3.86,"C",NA,2,4118,0.0000588083424645007,0.00135191852738556,-0.00230766102551694,-0.00550588227468376,1,0,0.00236646936798144,0.00685780080206932,-1
"45","2021 Fall",0,3213,0,"9","2021","2021-9","2021-09","Fall",2021,3723.19672131148,88.955737704918,1584.7868852459,424.065573770492,3.86,"C",NA,1,3214,0.00000787732055566719,0.00114709499123066,-0.0000509310219088335,-0.000204823536154905,1,0,0.0000588083424645007,0.00135191852738556,0
"52","2022 Winter",40,3441,0.01162452775356,"1","2022","2022-1","2022-01","Winter",2022,10408.1833333333,79.23,2001.75833333333,1206.89166666667,4.5,"C",NA,41,3402,0.00856121561614404,0.0157914026391806,0.00855333829558837,0.0146443076479499,0,1,0.00000787732055566719,0.00114709499123066,1
"50","2022 Spring",60,4214,0.0142382534409112,"3","2022","2022-3","2022-03","Spring",2022,7087.5,79.6978260869565,998.402173913043,559.75,4.5,"C",NA,61,4155,0.0110876296929826,0.0182855741182143,0.00252641407683856,0.00249417147903375,0,1,0.00856121561614404,0.0157914026391806,0
"51","2022 Summer",7,3973,0.00176189277623962,"6","2022","2022-6","2022-06","Summer",2022,4500.25,85.4991304347826,2026.96739130435,509.032608695652,4.5,"C",NA,8,3967,0.000869495330318513,0.00362587039281763,-0.0102181343626641,-0.0146597037253967,1,0,0.0110876296929826,0.0182855741182143,-1
"49","2022 Fall",3,3654,0.000821018062397373,"9","2022","2022-9","2022-09","Fall",2022,3442.13333333333,89.2303333333333,2414.3,853.966666666667,4.5,"C",NA,4,3652,0.00029826273288034,0.00239681489836946,-0.000571232597438173,-0.00122905549444817,1,0,0.000869495330318513,0.00362587039281763,0
"56","2023 Winter",4,1747,0.00228963938179737,"1","2023","2023-1","2023-01","Winter",2023,53781.0508474576,64.3264406779661,3737.76271186441,4840.1186440678,9.35,"W","FallX2+Gates",5,1744,0.000929400066069174,0.00584857909100555,0.000631137333188834,0.00345176419263609,0,1,0.00029826273288034,0.00239681489836946,0
"54","2023 Spring",20,2683,0.00745434215430488,"3","2023","2023-3","2023-03","Spring",2023,74352.4673913044,56.1283695652174,3305.84782608696,5055.86956521739,9.35,"W","FallX2+Gates",21,2664,0.00484960267239797,0.0114849848299174,0.00392020260632879,0.0056364057389119,0,1,0.000929400066069174,0.00584857909100555,0
"55","2023 Summer",2,2028,0.000986193293885602,"6","2023","2023-6","2023-06","Summer",2023,15074.4565217391,71.5441304347826,3919.08695652174,5810.65217391304,9.35,"W","FallX2+Gates",3,2027,0.000305018650255977,0.00355613200650454,-0.00454458402214199,-0.0079288528234129,1,0,0.00484960267239797,0.0114849848299174,-1
"53","2023 Fall",0,456,0,"9","2023","2023-9","2023-09","Fall",2023,9210.06666666667,79.0026666666667,3926.9,4467.63333333333,9.35,"W","FallX2+Gates",1,457,0.0000553984829184641,0.00803945561042008,-0.000249620167337513,0.00448332360391553,1,1,0.000305018650255977,0.00355613200650454,0
"57","2024 Winter",0,176,0,"1","2024","2024-1","2024-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,177,0.000143028233674847,0.0206254514795767,0.0000876297507563825,0.0125859958691567,0,1,0.0000553984829184641,0.00803945561042008,0
